# 驱逐简码明细（1525 行 / 1701 字）：编码<Tab>被逐简码字<Tab>驱逐后该行内容
gkh	囊	珿
gkl	副	畐
gkt	䢩	敔
gl	環 璉	玾 卌
gm	再	丗 責 珼
gmh	㔝	巿 帀
gmm	珊	両
gn	瓦	㐏 珝 㝳 玌 玘 戸 忢 丂
gnh	瑕	瑂 㺩 㔿 㺼
gnw	璆	玦
gp	琛 琮	辷 迋
gq	死	万 琻 歹 兀 兀
gqb	殛	㱟
gqe	殍	㱚
gqh	㱺	㱜
gqk	殞	玽
gqn	㱪	玸
gqr	㱱	歽
gqt	殊	敖
gqw	餮	㺵
gr	碧	珀
gs	琳	末 玎 亍
gsy	璷	㺷
gt	珠	玫
gtg	珩	珄
gu	平	珜
gv	妻 瑙	珢
gva	䣆	巠
gvh	妻	疌
gw	珍	兲 玐
gwg	瑜	㻇
gwy	玲	琟 㺬
gx	素	互 毒
gxx	㼄	玭
gy	班	玉 琂 玊 玟
gyx	㻭	玹
haw	矆	䀧
hbb	齱	䶔
hbc	齝	䶕
hbe	齟	齨
hbn	齷	齓
hbu	齴	䶘
hbv	齠	齦
hc	眸 睃	攴
hcy	䁊	䀑
hd	非	䀦 狊
hdh	悲	盽
he	瞬	肯 眀 眊 䀐
hf	睦 睹	盰 眛
hg	睛 凸	丄
hge	遽	睛 豦 䁃
hgh	凸	卝 眐
hgm	眪	歵 瞔
hh	止	步 䀠 卡 歨
hhd	頻	瞁
hhh	目	歮 瞐
hhn	鼑	愳
hi	叔 督	尗
hic	督	叔
hj	桌 虛	㫖 卓
hjh	㪕	眒
hk	虞	占
hkd	頕	奌
hkg	虞	睈
hl	膚 鹵	盀
hll	㪭	盧
hlo	鹺	鹵
hn	鼎	忐
hnh	凹	睸
hni	矚	県
hnw	矅	䀗
hob	齢	歯
hq	餐	見 歺 㱑
hqa	睧	眂
hqo	䱷	瞗 鳪 䁩
hqr	覐	䀛
hr	睥	虗 盺
hs	瞟	盯 䀯
ht	睡 瞅	䖍
htf	睡	䀒
htg	歱	眣
htu	虖	歬
htw	瞛	處
hu	瞳 睇	眻
hue	矓	瞯
hug	睠	瞤 眫
huj	瞳	瞷 瞕
hwg	瞪	䀬
hww	睉	䖋
hwy	瞧	雐 睢 䧳
hx	些	此 䖈
hxq	觜	鈭 㱔
hxr	矊	㧘
hxx	紫	䀝
hy	眩	虔 眆 盿
hyn	睙	盳
ia	港	江 汇 㲺 㳀
iaj	漠	㳻
iao	瀳	㳤
iat	㴀	㴕
ico	㶠	溤
id	湖	尖 沯 沽 沰 汏 汱
idh	潔	㳅
idj	淹	洦
idm	渜	湏
idw	湛	淇 㳁
ie	浮	肖 㳫 㳉 氻
if	法	汗 坔 泔 汢 汁 沬
ifa	灞	泋
ifj	潮	汫
ifk	澎	洁
ifs	灀	洡 湈
ig	光	汪
igh	沔	泟
igq	耀	光
igx	溼	沍
ih	小	泪 沚
ihd	渄	湨
ihi	淑	渋
ihq	瀣	覍 涀
ihw	濉	淲
ii	水 消	沝
iim	淌	溑
ij	温 湯	沓 汩 汨
ija	瀑	渱
ijy	灝	渂
ik	澡 潰	呇 汌
ikg	洖	浧
ikh	潞	沖 浞
il	渭 漸	泴 畄 畓 泗 沺 㳑 㳌
iln	潿	㴓
im	尚	油 汕 浿
ima	澧	浀
imd	湍	泱
imw	涔	汭
ing	渥	汈
ini	㴮	㳮
inw	濯	決
io	淡	洣
ip	党 深	龸
ipd	浤	涋
ipe	瀉	労
ipf	淙	坣
ipv	濅	洝
iq	沒	淦 汐
iqa	涽	汦
iqk	浼	泃 洺
iqo	瀂	淗 溩 漁 䳤
iqr	洶	沕
iqw	盜	㳄
ir	派	汽 泊 㳋 沂 㲼
irm	淿	㴈 峾
iry	激	泝
is	酒	浦 洒 汀 沐
isf	漂	湮 溥
it	省	少 敝 汷 㳊
itf	洗	汘 汻 洙
ito	潘	湫
itq	鱉	鐅
itr	㵺	撆
itu	泘	泈 洀
itv	瀄	嫳 涹
iud	渕	浂
iue	湔	湇 㵎 㴚
iun	溬	㳾 㵍
iur	灁	洨
ius	瀾	澖
iuw	溢	㴸
iv	津	汝 氿 泿
ivf	潚	㳃
ivy	澀	汍 㲽
iw	浴 脊	㲹 氼 汃 汄
iwg	洽	洤 鼡
iwr	滏	㳇
iwx	潑	沎
ix	沸	澠
iy	濟 流	汸 汶
iye	瀛	㳖
iyn	淚	汒
iyw	液	沆
ja	暴	虹 㫒
jaa	暱	䗃
jaj	蟆	蜡
jan	蝶	昛 蚷
jaw	暴	晎
jb	最 蜢	㫗 虸 虵 蚾
jbm	曓	昢 䖦
jd	晨 蝴	蛄 䖨 旲
jdm	蝡	暊 蝢
jdw	螓	昃 蜞
je	暖	明 冐 蚏 蚝 㫑
jed	㦔	猒
jeg	暖	蛆
