# 词序重排明细（2026-09-15）：按 rime-essay 单字有效字频（繁取自身与简体之大者）重排重码行，排除一级简码 25 行与字根行 4 行；共改动 1307 行。格式: 编码<Tab>原序<Tab>新序
fhn	起 趐 惪	起 惪 趐
fhq	䨘 趛 垷 䙿	垷 趛 䨘 䙿
fhr	䞟 赾	赾 䞟
fhw	真 㙈 埧	真 埧 㙈
fj	刊 刌 亓 龺 井	井 刊 亓 刌 龺
fjf	埋 坓 㘿 垾	埋 垾 坓 㘿
fjn	塌 電 䎐 乹	電 塌 乹 䎐
fjwf	斡 幹	幹 斡
fke	袁 埍 㔛 劼	袁 劼 埍 㔛
fkm	霣 塤	塤 霣
fkuj	蟚 鼜 䶁	鼜 蟚 䶁
fkuk	嘉 喜 嚭 囍 鼛 䵿 䶀	喜 嘉 囍 嚭 鼛 䵿 䶀
fkun	壾 憙	憙 壾
fm	圸 垻	垻 圸
fmd	雵 坱	坱 雵
fn	志 㐊 㐋 䨒 圯 圮 圠 忈 亐	志 圮 圯 忈 亐 圠 㐊 㐋 䨒
fnff	墛 霨	霨 墛
fnwb	罄 聲	聲 罄
fpfe	塜 霥	霥 塜
fpgc	穀 彀 觳 嗀 榖 殼 瑴 瞉 糓 縠 轂 鷇 嗀 㜌 㝅 㲄 㲉 㷤 㺉 䍍 䐨	穀 殼 轂 觳 彀 榖 縠 瑴 鷇 糓 嗀 瞉 嗀 㜌 㝅 㲄 㲉 㷤 㺉 䍍 䐨
fpgg	塇 壼	壼 塇
fpgn	懿 亄 愨 㦤	懿 愨 亄 㦤
fpx	壱 坨	坨 壱
fq	无 元 圥	元 圥 无
fqe	埳 埆	埆 埳
fqi	雿 垗	垗 雿
fr	坵 圻	圻 坵
fs	某 埔 圢 耒 雬	某 埔 耒 圢 雬
fsb	耔 䣂 耚	耔 耚 䣂
ft	才 耂 坆 攼	才 坆 攼 耂
fta	䨋 圫	圫 䨋
ftgf	堹 耊	耊 堹
ftgo	墲 壎	壎 墲
ftn	垖 圪	圪 垖
fu	雴 垃 垟 垶	垟 垃 垶 雴
fufi	漐 縶	縶 漐
fufo	騺 鷙 䲀	鷙 騺 䲀
fusf	墫 壿	壿 墫
fwfe	勎 勢	勢 勎
fwfo	熱 燅 驇 鵱	熱 鵱 燅 驇
fwy	霍 堆 䧲	堆 霍 䧲
fwyo	靍 鸖 䴇	鸖 靍 䴇
fy	坊 霅 圡 雱 雯	坊 雯 雱 圡 霅
ga	玒 弄	弄 玒
gamy	璊 貮	貮 璊
gan	䍾 玴	玴 䍾
gb	珥 㺭 邞 玻	玻 珥 邞 㺭
gdgj	蝅 蠺	蠺 蝅
gf	于 玵 玕	于 玕 玵
gg	玨 玞 㚘	玞 玨 㚘
gh	下 正 㠪 㺺 丅 㺪	下 正 丅 㠪 㺺 㺪
ghn	丐 乤 忑	丐 忑 乤
gj	㺫 丌	丌 㺫
gk	吾 玔 卅	吾 卅 玔
gl	玾 卌	卌 玾
gm	丗 責 珼	責 丗 珼
gmf	再 珃 専	再 専 珃
gn	㐏 珝 㝳 玌 玘 戸 忢 丂	戸 玘 忢 丂 珝 玌 㐏 㝳
gq	万 琻 歹 兀 兀	万 兀 歹 琻 兀
gqi	珧 珎	珎 珧
gqtb	聱 珋 瑤	瑤 聱 珋
gqtd	獒 殀 殠	獒 殠 殀
gqtm	嶅 贅 䫨	贅 嶅 䫨
gqto	熬 驁 鰲 鷔	熬 鰲 驁 鷔
gqtr	摮 殤	殤 摮
gs	末 玎 亍	末 亍 玎
gtb	㻑 琇	琇 㻑
gtfm	璳 瓚	瓚 璳
gx	互 毒	毒 互
gy	玉 琂 玊 玟	玉 玟 琂 玊
hb	眲 齒	齒 眲
hd	䀦 狊	狊 䀦
hdhn	翡 悲 㐟 䨽	悲 翡 㐟 䨽
hf	盰 眛	眛 盰
hggh	鬥 鬧	鬧 鬥
hggr	鬬 鬭	鬭 鬬
hgm	歵 瞔	瞔 歵
hh	步 䀠 卡 歨	卡 步 歨 䀠
hhh	歮 瞐	瞐 歮
hit	眇 歩	歩 眇
hj	㫖 卓	卓 㫖
hln	卣 慮	慮 卣
hlow	鹸 鹻 鹼 䴚	鹼 鹸 鹻 䴚
hlr	卤 䁪	䁪 卤
hqk	眗 眳	眳 眗
hqo	瞗 鳪 䁩	鳪 瞗 䁩
hr	虗 盺	盺 虗
hug	瞤 眫	眫 瞤
hw	具 虎 仧 凣	虎 具 凣 仧
hwgj	睮 瞺	瞺 睮
hwy	雐 睢 䧳	睢 雐 䧳
iaa	㳦 淺	淺 㳦
iakg	淢 漌 漢	漢 淢 漌
ian	洰 泄 泧	泄 洰 泧
ib	波 池 洱 汓 凼 氾	波 池 氾 凼 洱 汓
id	尖 沯 沽 沰 汏 汱	尖 沽 汏 汱 沰 沯
idfe	浱 漘	漘 浱
idff	溽 涯	涯 溽
ie	肖 㳫 㳉 氻	肖 氻 㳫 㳉
if	汗 坔 泔 汢 汁 沬	汗 汁 泔 沬 汢 坔
ifpc	濲 瀔 瀫	瀫 濲 瀔
ifs	洡 湈	湈 洡
ihq	覍 涀	涀 覍
ij	沓 汩 汨	沓 汨 汩
ijf	涅 浬 涆 単	涅 単 涆 浬
ijg	泹 淵	淵 泹
ijs	巣 淉	淉 巣
ik	呇 汌	汌 呇
il	泴 畄 畓 泗 沺 㳑 㳌	泗 畄 沺 泴 畓 㳑 㳌
ilge	溷 渨 澴	溷 澴 渨
imgt	溦 澂	澂 溦
iooi	濴 瀠	瀠 濴
iouf	澲 濧	濧 澲
ipkj	劏 嘗	嘗 劏
ipwf	浫 漥 潌	漥 浫 潌
iq	淦 汐	汐 淦
iqi	洮 沵	沵 洮
iqk	泃 洺	洺 泃
iqo	淗 溩 漁 䳤	漁 淗 溩 䳤
iqtb	泖 淘	淘 泖
iqy	渹 汋 汣	汋 渹 汣
ir	汽 泊 㳋 沂 㲼	泊 汽 沂 㳋 㲼
irm	㴈 峾	峾 㴈
is	浦 洒 汀 沐	浦 沐 汀 洒
isf	湮 溥	溥 湮
itd	活 獘 沃	活 沃 獘
itf	汘 汻 洙	洙 汻 汘
itg	洚 泩 汼 泆	泩 洚 汼 泆
itj	暼 㴡 浰 蟞	暼 浰 蟞 㴡
itu	泈 洀	洀 泈
iua	溠 洴	洴 溠
iugi	漾 漛 潫	漾 潫 漛
iuj	漳 湆 澗	澗 漳 湆
iw	㲹 氼 汃 汄	氼 汄 汃 㲹
iwe	脊 洕 沴	脊 沴 洕
iwg	洤 鼡	鼡 洤
iwga	瀹 淪 渰 㵸	淪 瀹 渰 㵸
iwgt	漵 瀲	瀲 漵
iwy	淮 雀 汎	汎 雀 淮
iwyk	浛 滄	滄 浛
iwyn	汵 淰	淰 汵
ixe	泑 湪	湪 泑
iy	汸 汶	汶 汸
iyj	湻 濟	濟 湻
iyke	滖 瀼	瀼 滖
iynd	涙 淚	淚 涙
iyth	漩 洲	洲 漩
jag	䖱 畢	畢 䖱
jamy	暪 蟎	蟎 暪
jan	昛 蚷	蚷 昛
jb	㫗 虸 虵 蚾	虵 虸 蚾 㫗
jd	蛄 䖨 旲	蛄 旲 䖨
jday	曞 蠣	蠣 曞
jdj	蛨 昦	昦 蛨
je	明 冐 蚏 蚝 㫑	明 蚝 冐 蚏 㫑
jf	里 圼 蚶 旰 旪 虷 旱 昧 䖞	里 旱 昧 蚶 旰 旪 虷 圼 䖞
jff	蛙 晆 㫭 時	時 蛙 晆 㫭
jg	旦 旺 蚟 蚨 㫙	旺 旦 蚨 蚟 㫙
jght	尟 晸	晸 尟
jgmw	昞 昺 蛃	昺 昞 蛃
jgx	鼂 蝳	蝳 鼂
jh	冒 㫔 申 虲	冒 申 㫔 虲
jhll	曥 蠦	蠦 曥
jhq	㒻 晛 蜆	蜆 晛 㒻
jjj	晶 晿 䗉 蟲	蟲 晶 晿 䗉
jjje	曑 曟	曟 曑
jjjg	曐 曡	曡 曐
jjqn	蝎 暍	暍 蝎
jkkf	暺 蟬	蟬 暺
jlff	曎 蠌 䘃	蠌 曎 䘃
jnh	蝞 虯	虯 蝞
jnhc	暇 蝦	蝦 暇
jnij	曯 蠾	蠾 曯
jnx	昵 蚭	蚭 昵
jo	炅 㫧 炚	炅 炚 㫧
jpl	暉 暈	暈 暉
js	果 虰 杲 晡 蚞 蜅	果 杲 晡 虰 蚞 蜅
jsj	蝀 曋 蟫	蝀 蟫 曋
jt	昨 星	星 昨
jtg	星 甠 﨡 昳 蛈	星 昳 蛈 甠 﨡
jthf	蚱 昨 曍	昨 蚱 曍
jtnh	蜁 螄	螄 蜁
jtu	㫡 昸	昸 㫡
jua	暛 蛢	蛢 暛
jv	旯 妟 旫 虭 蛝	旯 妟 虭 旫 蛝
jwf	䖫 蚹	蚹 䖫
jwv	昐 蚡	蚡 昐
jwyc	蛉 昤 蠄	蛉 蠄 昤
jwyk	晗 蛿 螥	晗 螥 蛿
jx	㫐 蠅	蠅 㫐
jxxw	歞 蟣	蟣 歞
jy	昘 昉 蚄 旻 蚊 旼	蚊 旻 昉 昘 旼 蚄
jyx	昡 蚿	蚿 昡
kb	咠 吇 咡 叩 吔	叩 吔 吇 咡 咠
kd	咕 㕦 吠	咕 吠 㕦
kdff	喹 啀 嗕	喹 嗕 啀
kdh	㕩 吥	吥 㕩
ke	另 肙 㕰 叻	另 叻 肙 㕰
kf	叶 味 吐 咁 吋	咁 味 吐 吋 叶
kfc	吱 呍 呿	吱 呿 呍
kg	呈 㕵 㕶 呋	呈 呋 㕵 㕶
kga	咞 哢	哢 咞
kh	中 足 ⻊ 卟	中 足 卟 ⻊
khce	踊 踴	踴 踊
khdk	踎 踦	踦 踎
khff	跬 跱 踛 躊	跬 躊 跱 踛
khgf	哶 趶 跮	哶 跮 趶
khgp	遣 遺	遺 遣
khh	趾 咔 䟔	咔 趾 䟔
khie	踃 蹐 䠌	蹐 踃 䠌
khqo	踘 蹨	蹨 踘
khsk	跒 踈	踈 跒
khtg	跌 跭 躌	跌 躌 跭
khth	蹝 蹤	蹤 蹝
khtk	踟 路 蹻	路 踟 蹻
khto	踿 鷺	鷺 踿
khub	踡 躑	躑 踡
khwk	跲 蹌	蹌 跲
khwn	趻 踗 蹹	蹹 趻 踗
kjf	哩 㖏 哻	哩 哻 㖏
kkdk	器 嚻 囂	器 囂 嚻
kl	呬 呷 唓	呷 呬 唓
kme	嗗 勛	勛 嗗
knd	啹 吳	吳 啹
kp	喧 喀	喀 喧
