简码检测明细附录(v0.1)	
=== 三级缺失槽位(不含高频候选的部分) ===
rgu	原: 挟	抨〔1024241,无简码〕
rhe	原: 掳	掯〔1024192,无简码〕 摣〔1024191,无简码〕
rip	原: 撑	摚〔1023938,无简码〕 擋〔1023936,无简码〕 攩〔1023933,无简码〕 㿩〔1023932,无简码〕 撐〔1023924,无简码〕
rjl	原: 氲	摱〔1023813,无简码〕
rlg	原: 掴	擐〔1023648,无简码〕 揋〔1023647,无简码〕 㨡〔1023646,无简码〕 㩛〔1023645,无简码〕
rmm	原: 撄	攖〔1023496,无简码〕
rmn	原: 皑	撾〔1023492,无简码〕
rps	原: 拧	㧲〔1023121,无简码〕
rsj	原: 刹	氭〔1022390,无简码〕 揸〔1022388,无简码〕 㨂〔1022387,无简码〕 撢〔1022384,无简码〕
rsu	原: 杀	閷〔1022325,无简码〕
rtn	原: 㧰	扢〔1022040,无简码〕 搥〔1022039,无简码〕
rvg	原: 扫	揵〔1021724,无简码〕
rwx	原: 抡	撥〔1021475,无简码〕
ryj	原: 挤	擠〔1021255,无简码〕 㨈〔1021254,无简码〕
sam	原: 横	楧〔1020923,无简码〕 構〔1020922,无简码〕 槓〔1020913,无简码〕 樠〔1020912,无简码〕
sat	原: 桡	㯵〔1020859,无简码〕 樥〔1020857,无简码〕 㮱〔1020849,无简码〕
sde	原: 枥	㮋〔1020596,无简码〕 栯〔1020595,无简码〕 楜〔1020594,无简码〕 櫌〔1020590,无简码〕 棖〔1020589,无简码〕
sfn	原: 椟	檮〔1020151,无简码〕 杇〔1020146,无简码〕 梽〔1020143,无简码〕
sig	原: 榉	桄〔1019187,无简码〕 﨔〔1019186,无简码〕
slq	原: 椤	㯮〔1018681,无简码〕 鶫〔1018680,无简码〕
smm	原: 樱	櫻〔1018566,无简码〕
smn	原: 桤	楇〔1018564,无简码〕 檛〔1018562,无简码〕
sov	原: 楼	槦〔1018277,无简码〕 槺〔1018276,无简码〕 榶〔1018275,无简码〕 椩〔1018273,无简码〕
sqc	原: 构	栬〔1018111,无简码〕
srs	原: 榝	樧〔1017846,无简码〕 椞〔1017844,无简码〕
ssg	原: 栖	梄〔1017751,无简码〕 梺〔1017748,无简码〕 槱〔1017746,无简码〕
ssq	原: 梦	鷅〔1017644,无简码〕
swn	原: 机	㮢〔1016863,无简码〕
syb	原: 椁	槨〔1016433,无简码〕 梈〔1016430,无简码〕 橔〔1016427,无简码〕
syf	原: 槠	堏〔1016407,无简码〕 櫧〔1016404,无简码〕
teb	原: 笔	箙〔1015192,无简码〕 筟〔1015191,无简码〕 稃〔1015190,无简码〕
tfc	原: 丢	篕〔1014870,无简码〕 䅩〔1014856,无简码〕 秐〔1014855,无简码〕 秓〔1014854,无简码〕
tga	原: 笺	䄯〔1014392,无简码〕 笄〔1014390,无简码〕 筭〔1014389,无简码〕 㣜〔1014388,无简码〕
thi	原: 处	臯〔1013568,无简码〕 翺〔1013565,无简码〕 鷱〔1013564,无简码〕 篎〔1013560,无简码〕
tkk	原: 稆	筥〔1012696,无简码〕 簞〔1012695,无简码〕 䆆〔1012681,无简码〕 䉷〔1012679,无简码〕
tkw	原: 积	雒〔1012623,无简码〕
tlq	原: 囱	䘓〔1012447,无简码〕 悤〔1012437,无简码〕 䇱〔1012433,无简码〕 欰〔1012429,无简码〕 簐〔1012428,无简码〕
tmo	原: 奥	嶴〔1011874,无简码〕 䴈〔1011873,无简码〕
tni	原: 乐	㣯〔1011673,无简码〕 徲〔1011670,无简码〕 穉〔1011669,无简码〕 䆈〔1011664,无简码〕
tnt	原: 秘	簈〔1011567,无简码〕 㩿〔1011548,无简码〕
tov	原: 篓	媝〔1011299,无简码〕 穅〔1011296,无简码〕 篖〔1011294,无简码〕 䅯〔1011293,无简码〕
tuk	原: 税	篰〔1009934,无简码〕 箁〔1009930,无简码〕 稖〔1009927,无简码〕 舯〔1009925,无简码〕 艥〔1009914,无简码〕
tvh	原: 箫	覣〔1009473,无简码〕
tyr	原: 篱	䅻〔1008662,无简码〕 籬〔1008655,无简码〕
ude	原: 疬	痏〔1008098,无简码〕 㾰〔1008097,无简码〕 痮〔1008093,无简码〕
udw	原: 凑	瘞〔1007946,无简码〕 㿓〔1007944,无简码〕 䦮〔1007941,无简码〕 瘎〔1007939,无简码〕 瘱〔1007938,无简码〕
ufy	原: 装	裝〔1007468,无简码〕
ukh	原: 冲	㪗〔1006378,无简码〕 竒〔1006370,无简码〕 闠〔1006364,无简码〕 㿉〔1006362,无简码〕 䇍〔1006354,无简码〕
umm	原: 瘿	癭〔1006069,无简码〕
unw	原: 决	瘳〔1005895,无简码〕 疦〔1005891,无简码〕 䦑〔1005890,无简码〕 㿑〔1005883,无简码〕
uov	原: 瘘	牅〔1005810,无简码〕
uqm	原: 痪	瘓〔1005581,无简码〕
uus	原: 痫	竴〔1004647,无简码〕
uyl	原: 凛	羶〔1003946,无简码〕 癝〔1003942,无简码〕 凜〔1003941,无简码〕 癛〔1003940,无简码〕
vat	原: 娆	嬞〔1003684,无简码〕 嫕〔1003683,无简码〕
vcc	原: 驽	娺〔1003562,无简码〕 㜗〔1003561,无简码〕 駑〔1003558,无简码〕
vfq	原: 妩	妧〔1003089,无简码〕
vfu	原: 嫱寻	婞〔1003068,无简码〕
vhj	原: 肃	婥〔1002851,无简码〕
vij	原: 剥	㛥〔1002788,无简码〕
vjl	原: 媪	嫚〔1002715,无简码〕
vkm	原: 娲	帤〔1002589,无简码〕 㜏〔1002583,无简码〕
vmm	原: 姗	孆〔1002356,无简码〕
